publication_id,affiliation_id
http://arxiv.org/abs/1905.00078v2,90
http://arxiv.org/abs/1905.00078v2,91
http://arxiv.org/abs/1905.00078v2,92
http://arxiv.org/abs/1905.00078v2,93
http://arxiv.org/abs/1905.00078v2,91
http://arxiv.org/abs/1905.00078v2,91
http://arxiv.org/abs/1902.02783v3,94
http://arxiv.org/abs/1902.02783v3,95
http://arxiv.org/abs/1902.02783v3,96
http://arxiv.org/abs/1902.02783v3,97
http://arxiv.org/abs/1902.02783v3,96
http://arxiv.org/abs/1905.10338v1,98
http://arxiv.org/abs/1804.05246v3,99
http://arxiv.org/abs/1905.10221v1,100
http://arxiv.org/abs/1905.10215v1,16
http://arxiv.org/abs/1905.10215v1,16
http://arxiv.org/abs/1905.10215v1,101
http://arxiv.org/abs/1905.10215v1,17
http://arxiv.org/abs/1905.10215v1,16
http://arxiv.org/abs/1905.10212v1,18
http://arxiv.org/abs/1905.10212v1,18
http://arxiv.org/abs/1905.10212v1,17
http://arxiv.org/abs/1905.12160v1,61
http://arxiv.org/abs/1905.12160v1,63
http://arxiv.org/abs/1905.12160v1,63
http://arxiv.org/abs/1905.12160v1,63
http://arxiv.org/abs/1803.06977v2,102
http://arxiv.org/abs/1803.06977v2,103
http://arxiv.org/abs/1803.06977v2,104
http://arxiv.org/abs/1806.04096v2,105
http://arxiv.org/abs/1806.04096v2,105
http://arxiv.org/abs/1806.04096v2,106
http://arxiv.org/abs/1806.04096v2,105
http://arxiv.org/abs/1906.02136v1,107
http://arxiv.org/abs/1906.02136v1,108
http://arxiv.org/abs/1906.02136v1,109
http://arxiv.org/abs/1906.02136v1,107
http://arxiv.org/abs/1906.02136v1,109
http://arxiv.org/abs/1906.02136v1,110
http://arxiv.org/abs/1906.02136v1,110
http://arxiv.org/abs/1906.02136v1,111
http://arxiv.org/abs/1905.09658v1,112
http://arxiv.org/abs/1905.09658v1,113
http://arxiv.org/abs/1905.09658v1,114
http://arxiv.org/abs/1905.09658v1,115
http://arxiv.org/abs/1905.09658v1,112
http://arxiv.org/abs/1905.09826v1,116
http://arxiv.org/abs/1905.09826v1,116
http://arxiv.org/abs/1905.09826v1,116
http://arxiv.org/abs/1905.09826v1,116
http://arxiv.org/abs/1905.09826v1,116
http://arxiv.org/abs/1904.03714v2,117
http://arxiv.org/abs/1904.03714v2,118
http://arxiv.org/abs/1905.08636v2,119
http://arxiv.org/abs/1905.08636v2,119
http://arxiv.org/abs/1905.08636v2,119
http://arxiv.org/abs/1905.09081v2,120
http://arxiv.org/abs/1905.09081v2,120
http://arxiv.org/abs/1905.09081v2,65
http://arxiv.org/abs/1905.09350v1,121
http://arxiv.org/abs/1905.09350v1,121
http://arxiv.org/abs/1905.09350v1,121
http://arxiv.org/abs/1905.09350v1,121
http://arxiv.org/abs/1905.09816v1,122
http://arxiv.org/abs/1905.09816v1,123
http://arxiv.org/abs/1905.09816v1,124
http://arxiv.org/abs/1905.09816v1,125
http://arxiv.org/abs/1905.09816v1,126
http://arxiv.org/abs/1905.09816v1,122
http://arxiv.org/abs/1905.09816v1,122
http://arxiv.org/abs/1905.09816v1,126
http://arxiv.org/abs/1905.09816v1,127
http://arxiv.org/abs/1905.09816v1,126
http://arxiv.org/abs/1702.08719v3,128
http://arxiv.org/abs/1702.08719v3,128
http://arxiv.org/abs/1702.08719v3,128
http://arxiv.org/abs/1702.08719v3,128
http://arxiv.org/abs/1702.08719v3,128
http://arxiv.org/abs/1905.08988v1,129
http://arxiv.org/abs/1905.08988v1,129
http://arxiv.org/abs/1905.08988v1,129
http://arxiv.org/abs/1905.08988v1,129
http://arxiv.org/abs/1905.07444v2,130
http://arxiv.org/abs/1905.07444v2,131
http://arxiv.org/abs/1905.07444v2,130
http://arxiv.org/abs/1905.07444v2,46
http://arxiv.org/abs/1905.08880v1,96
http://arxiv.org/abs/1905.08880v1,96
http://arxiv.org/abs/1905.08880v1,96
http://arxiv.org/abs/1905.08880v1,96
http://arxiv.org/abs/1905.08776v1,132
http://arxiv.org/abs/1905.08776v1,132
http://arxiv.org/abs/1905.08776v1,133
http://arxiv.org/abs/1905.08776v1,133
http://arxiv.org/abs/1905.08776v1,132
http://arxiv.org/abs/1905.08776v1,133
http://arxiv.org/abs/1905.08776v1,133
http://arxiv.org/abs/1905.08776v1,133
http://arxiv.org/abs/1905.08776v1,133
http://arxiv.org/abs/1905.08776v1,132
http://arxiv.org/abs/1905.08776v1,132
http://arxiv.org/abs/1905.08776v1,132
http://arxiv.org/abs/1905.07923v1,134
http://arxiv.org/abs/1905.07923v1,134
http://arxiv.org/abs/1905.07923v1,134
http://arxiv.org/abs/1905.07923v1,134
http://arxiv.org/abs/1905.07918v1,135
http://arxiv.org/abs/1905.07918v1,135
http://arxiv.org/abs/1905.07918v1,135
http://arxiv.org/abs/1905.07894v1,136
http://arxiv.org/abs/1905.07894v1,136
http://arxiv.org/abs/1905.07894v1,136
http://arxiv.org/abs/1905.07894v1,136
http://arxiv.org/abs/1905.08773v1,137
http://arxiv.org/abs/1905.08773v1,137
http://arxiv.org/abs/1905.08773v1,137
http://arxiv.org/abs/1905.08773v1,138
http://arxiv.org/abs/1905.07167v1,139
http://arxiv.org/abs/1905.07167v1,139
http://arxiv.org/abs/1905.07167v1,140
http://arxiv.org/abs/1905.07167v1,139
http://arxiv.org/abs/1905.07167v1,141
http://arxiv.org/abs/1905.07167v1,139
http://arxiv.org/abs/1905.08150v1,142
http://arxiv.org/abs/1812.03992v2,143
http://arxiv.org/abs/1812.03992v2,143
http://arxiv.org/abs/1812.03992v2,144
http://arxiv.org/abs/1812.03992v2,145
http://arxiv.org/abs/1905.07061v1,146
http://arxiv.org/abs/1905.07061v1,146
http://arxiv.org/abs/1905.07061v1,146
http://arxiv.org/abs/1905.07061v1,76
http://arxiv.org/abs/1905.07061v1,76
http://arxiv.org/abs/1612.07003v9,147
http://arxiv.org/abs/1612.07003v9,147
http://arxiv.org/abs/1612.07003v9,147
http://arxiv.org/abs/1612.07003v9,147
http://arxiv.org/abs/1805.08531v3,51
http://arxiv.org/abs/1805.08531v3,51
http://arxiv.org/abs/1805.08531v3,51
http://arxiv.org/abs/1905.06546v1,148
http://arxiv.org/abs/1905.06546v1,148
http://arxiv.org/abs/1905.06544v1,149
http://arxiv.org/abs/1905.06543v1,150
http://arxiv.org/abs/1905.06543v1,148
http://arxiv.org/abs/1905.05055v2,151
http://arxiv.org/abs/1905.05055v2,152
http://arxiv.org/abs/1905.05055v2,153
http://arxiv.org/abs/1905.05055v2,151
http://arxiv.org/abs/1905.04501v2,154
http://arxiv.org/abs/1905.04501v2,154
http://arxiv.org/abs/1905.04501v2,154
http://arxiv.org/abs/1905.04501v2,154
http://arxiv.org/abs/1905.04501v2,155
http://arxiv.org/abs/1905.04501v2,156
http://arxiv.org/abs/1904.05383v2,157
http://arxiv.org/abs/1904.05383v2,122
http://arxiv.org/abs/1904.05383v2,122
http://arxiv.org/abs/1904.05383v2,158
http://arxiv.org/abs/1904.05383v2,159
http://arxiv.org/abs/1904.05383v2,122
http://arxiv.org/abs/1904.05383v2,122
http://arxiv.org/abs/1904.05383v2,126
http://arxiv.org/abs/1904.05383v2,160
http://arxiv.org/abs/1904.05383v2,161
http://arxiv.org/abs/1904.05383v2,161
http://arxiv.org/abs/1904.05383v2,161
http://arxiv.org/abs/1904.05383v2,157
http://arxiv.org/abs/1904.05383v2,126
http://arxiv.org/abs/1904.05383v2,162
http://arxiv.org/abs/1904.05383v2,161
http://arxiv.org/abs/1904.05383v2,161
http://arxiv.org/abs/1904.05383v2,161
http://arxiv.org/abs/1904.05383v2,122
http://arxiv.org/abs/1511.02771v6,58
http://arxiv.org/abs/1511.02771v6,58
http://arxiv.org/abs/1905.08613v1,163
http://arxiv.org/abs/1905.08613v1,164
http://arxiv.org/abs/1905.08613v1,165
http://arxiv.org/abs/1905.08613v1,166
http://arxiv.org/abs/1905.06005v1,167
http://arxiv.org/abs/1905.06005v1,167
http://arxiv.org/abs/1905.06005v1,167
http://arxiv.org/abs/1905.05985v1,168
http://arxiv.org/abs/1905.05985v1,169
http://arxiv.org/abs/1905.05861v1,170
http://arxiv.org/abs/1905.05861v1,170
http://arxiv.org/abs/1905.05861v1,170
http://arxiv.org/abs/1905.05861v1,170
http://arxiv.org/abs/1905.05861v1,170
http://arxiv.org/abs/1905.05861v1,170
http://arxiv.org/abs/1905.05587v1,171
http://arxiv.org/abs/1905.05587v1,171
http://arxiv.org/abs/1905.05587v1,172
http://arxiv.org/abs/1905.05587v1,173
http://arxiv.org/abs/1903.11299v3,174
http://arxiv.org/abs/1903.11299v3,174
http://arxiv.org/abs/1903.11299v3,175
http://arxiv.org/abs/1903.11299v3,175
http://arxiv.org/abs/1903.11299v3,175
http://arxiv.org/abs/1903.11299v3,176
http://arxiv.org/abs/1905.01209v2,177
http://arxiv.org/abs/1905.01209v2,177
http://arxiv.org/abs/1905.01209v2,177
http://arxiv.org/abs/1905.06413v1,178
http://arxiv.org/abs/1905.06413v1,179
http://arxiv.org/abs/1905.06413v1,180
http://arxiv.org/abs/1905.06413v1,179
http://arxiv.org/abs/1905.06413v1,179
http://arxiv.org/abs/1905.06413v1,178
http://arxiv.org/abs/1905.05107v1,181
http://arxiv.org/abs/1905.05107v1,181
http://arxiv.org/abs/1905.05107v1,181
http://arxiv.org/abs/1901.09532v2,182
http://arxiv.org/abs/1901.09532v2,51
http://arxiv.org/abs/1901.09532v2,183
http://arxiv.org/abs/1901.09532v2,100
http://arxiv.org/abs/1905.06235v1,137
http://arxiv.org/abs/1905.06235v1,137
http://arxiv.org/abs/1905.05182v1,184
http://arxiv.org/abs/1905.05182v1,185
http://arxiv.org/abs/1905.05182v1,186
http://arxiv.org/abs/1905.05182v1,186
http://arxiv.org/abs/1905.05182v1,184
http://arxiv.org/abs/1905.05182v1,184
http://arxiv.org/abs/1905.06844v1,187
http://arxiv.org/abs/1905.06844v1,187
http://arxiv.org/abs/1905.06844v1,188
http://arxiv.org/abs/1905.04691v1,189
http://arxiv.org/abs/1905.04691v1,189
http://arxiv.org/abs/1905.04691v1,189
http://arxiv.org/abs/1905.04691v1,189
http://arxiv.org/abs/1905.04691v1,189
http://arxiv.org/abs/1905.04691v1,189
http://arxiv.org/abs/1905.04691v1,189
http://arxiv.org/abs/1905.04651v1,190
http://arxiv.org/abs/1905.04651v1,2
http://arxiv.org/abs/1905.04651v1,190
http://arxiv.org/abs/1905.04175v1,191
http://arxiv.org/abs/1905.04175v1,192
http://arxiv.org/abs/1905.04175v1,192
http://arxiv.org/abs/1905.04175v1,193
http://arxiv.org/abs/1905.04175v1,191
http://arxiv.org/abs/1905.04175v1,194
http://arxiv.org/abs/1905.04175v1,194
http://arxiv.org/abs/1905.04175v1,195
http://arxiv.org/abs/1905.04175v1,195
http://arxiv.org/abs/1905.04175v1,196
